S.No,Semester,Division,Dept,course_num,course_name,Course Level,Hrs Per Week,course_category,description,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
1,Fall,Carnegie Institute of Technology,CHE,6705,ADV CHE THRMODYNMCS,Graduate,8.16,theory,"Advanced application of the general thermodynamic method to chemical engineering problems. Second law consequences, estimation and correlation of thermodynamic properties, and chemical and phase equilibria",4.42,4.63,4.74,4.05,4.58,4.63,4.95,4.47,4.37
2,Fall,Mellon College of Science,CMY,9214,PHYSICAL CHEMISTRY,Undergraduate,6.5,theory,"This is a one-semester course intended primarily for students majoring in Biological Sciences, students pursuing a B.A. degree program in Chemistry, and students in the B.S.A.program with a concentration in chemistry. The course focuses on thermodynamics, transport and reaction rates and their application to chemical and biological systems. Emphasis is given to attaining a good fundamental understanding of entropy and free energy. This is more a concepts than skills building course. Topics include applications of thermodynamics to chemical and biochemical equilibria, electrochemistry, solutions, and chemical kinetics. 3 hrs. lec. Prerequisites: 09106 and 21122 and (33111 or 33106)",5,4.5,4.5,4.5,5,4.5,5,4.5,4.5
3,Fall,Mellon College of Science,CMY,9403,CMY ADDIC,Undergraduate,5.75,theory,"What makes us need something so much that it eclipses other important aspects of our lives, such as family, friends, work, hobbies, health and wellness? There are many different types of addiction; this course will focus on molecular addictions, specifically those involving members of the opiate class of narcotics. The ongoing epidemic of opiate addiction, arising both from over-prescription of pain killers and recreational use of heroin, has been widely reported and continues to rise at alarming rates, ravaging our urban and rural communities. In this course, we will explore the complicated role of chemistry in this epidemic, including the good (elucidating mechanisms of action, development of clinically useful and safe opiates and non-opiate pain killers) and the bad (design and synthesis of increasingly addictive opiates). We will also discuss ethical questions faced by the pharmaceutical industry that develops, markets and sells opiates, the medical community that prescribes opiates, and the government agencies charged with regulating these activities. Students who complete this course will emerge with a broad understanding and perspective on an issue that is of great scientific and societal importance. 3 hrs. lec.",5,4.75,5,5,5,4.88,5,5,4.88
4,Fall,Carnegie Institute of Technology,CEE,12411,PRJ MANGMT CONSTRCTN,Undergraduate,7.46,applied,"Through planning and management, and optimization and allocation of materials and labor under time and financial constraints, project managers lead teams to achieve project goals. This course is an introduction to project management of engineering, construction, and operations of building facilities and civil infrastructure. This course emphasizes design, construction, and operation as an integrated process and examines various topics related to four core aspects of project management - time, cost, quality, and safety. Engineering and management cases from civil, construction, and infrastructure engineering domains will be examined. Topics covered include contracting issues, legal structures, project planning and scheduling, cash flows, cost estimation and financing of constructed facilities, labor productivity, material management, equipment utilization, cost control, monitoring, and accounting for construction. The course will introduce various software tools useful for implementation of these topics, including project scheduling and management tools, software for optimization and economic analysis, field operation analysis tools, and digital design and modeling tools.",4.34,3.98,4.05,3.89,4.48,4.02,4.69,3.98,3.72
5,Fall,School of Computer Science,CS,15251,GRT IDEAS THERTCL CS,Undergraduate,14.27,theory,"This course is about how to use theoretical ideas to formulate and solve problems in computer science. It integrates mathematical material with general problem solving techniques and computer science applications. Examples are drawn from algorithms, complexity theory, game theory, probability theory, graph theory, automata theory, algebra, cryptography, and combinatorics. Assignments involve both mathematical proofs and programming. NOTE: students must achieve a C or better in order to use this course to satisfy the pre-requisite for any subsequent Computer Science course.",4.71,4.69,4.72,4.53,4.72,4.72,4.81,4.67,4.72
26,Spring,School of Computer Science,CS,15251,GRT IDEAS THERTCL CS,Undergraduate,16.3,applied,"Course Objectives:Define mathematically the notions of computation, computational problem, and algorithm.Express, analyze and compare the computability and computational complexity of problems.Use mathematical tools from set theory, combinatorics, graph theory, probability theory, and number theory in the study of computability, computational complexity, and some of the real-world applications of computational concepts. State and explain the important and well-known open problems in the theory of computation. Write clearly presented proofs that meet rigorous standards of correctness and conventional guidelines on style. Identify and critique proofs that are logically flawed and/or do no meet the expected standards of clarity. Cooperate with other people in order to solve challenging and rigorous problems related to the study of computer science.",3.77,3.88,3.96,3.55,4.07,3.81,4.25,3.71,3.83
6,Fall,School of Computer Science,CS,15424,FNDN CYB PHY SYS,Undergraduate,11.86,applied,"Cyber-physical systems (CPSs) combine cyber capabilities (computation and/or communication) with physical capabilities (motion or other physical processes). Cars, aircraft, and robots are prime examples, because they move physically in space in a way that is determined by discrete computerized control algorithms. Designing these algorithms to control CPSs is challenging due to their tight coupling with physical behavior. At the same time, it is vital that these algorithms be correct, since we rely on CPSs for safety-critical tasks like keeping aircraft from colliding. This course pursues the fundamental question: How can we provide people with cyber-physical systems they can bet their lives on?",4.71,4.14,4.57,4.57,4.71,4.71,4.71,4.57,4.43
7,Fall,School of Computer Science,CS,15740,COMPUTER ARCHITECTR,Graduate,8,applied,"This course attempts to provide a deep understanding of the issues and challenges involved in designing and implementing modern computer systems. Our primary goal is to help students become more skilled in their use of computer systems, including the development of applications and system software. Users can benefit greatly from understanding how computer systems work, including their strengths and weaknesses. This is particularly true in developing applications where performance is an issue. Please refer to http://www.cs.cmu.edu/csd-grad/courseschedulef21.html for the most recent schedule updates. COURSE BEGINS THE WEEK OF SEPTEMBER 7th.",4.61,4.28,4.61,4.17,4.78,4.61,4.89,4.72,4.61
8,Fall,School of Computer Science,CS,15819,ADVD TPCS PL,Graduate,9.71,theory,"SECTION Y: Computational Type Theory: Computational type theory has its origins in Martin-Lfs Constructive Mathematics and Computer Programming. That paper provided the foundation for the NuPRL type theory and implementation, which has been under continual development at Cornell since the early 1980s. Unlike formal type theory, computational type theory begins with the notion of program, and defines types as specifications of program behavior. This leads to a very rich type theory that encompasses the usual logically-motivated types and extends it with many concepts motivated directly by computation. With types being defined semantically, the role of proof theory is entirely pragmatic, supporting implementation, rather than definitional or conceptual.... Please refer to http://www.cs.cmu.edu/csd-grad/courseschedules21.html for the most recent schedule updates.",5,5,5,4.86,5,5,5,4.71,4.86
27,Spring,School of Computer Science,CS,15819,ADVD TPCS PROG LANGU,Graduate,5,theory,"SECTION Y: Computational Type Theory: Computational type theory has its origins in Martin-Lfs Constructive Mathematics and Computer Programming. That paper provided the foundation for the NuPRL type theory and implementation, which has been under continual development at Cornell since the early 1980s. Unlike formal type theory, computational type theory begins with the notion of program, and defines types as specifications of program behavior. This leads to a very rich type theory that encompasses the usual logically-motivated types and extends it with many concepts motivated directly by computation. With types being defined semantically, the role of proof theory is entirely pragmatic, supporting implementation, rather than definitional or conceptual.... Please refer to http://www.cs.cmu.edu/csd-grad/courseschedules21.html for the most recent schedule updates.",4.33,4,4.33,3.67,5,4.67,4.67,4.33,4.33
